,diabetes_prevalence
1292,13.7
2302,13.1
761,12.2
2194,11.2
1241,12.5
221,8.8
543,15.5
2360,10.3
2250,10.7
1803,14.3
693,11.9
1036,14.0
2020,12.2
3009,14.7
805,11.2
1614,12.3
756,13.0
1793,11.4
272,7.3
521,14.2
522,16.0
2552,15.5
2658,15.1
2995,13.8
350,13.8
3069,9.8
1832,12.4
2430,12.5
651,11.3
1578,13.2
2717,12.6
2042,13.0
1228,9.4
1179,11.0
1213,14.0
168,12.8
2627,15.1
2089,11.8
2836,17.7
912,12.7
829,11.2
2684,16.7
1557,17.9
1760,11.7
1373,9.4
2345,11.1
219,12.8
367,13.6
3098,10.4
1714,11.5
2390,10.2
2244,13.1
1454,15.4
351,14.1
3136,7.2
1261,9.1
3022,14.8
490,14.3
2818,16.9
2817,10.3
498,12.1
1811,19.9
210,11.2
2691,13.7
746,13.9
650,12.3
227,9.2
365,10.9
3072,9.2
276,7.8
2092,10.5
1406,16.1
1149,16.2
1545,12.8
1840,11.4
407,11.6
2408,8.8
1037,13.4
3064,9.7
2350,13.8
1399,19.6
2522,11.9
2163,14.7
7,14.7
810,11.9
1345,10.4
1467,13.8
415,15.3
1094,16.8
838,7.4
765,12.5
2991,12.5
199,11.5
1114,16.0
283,9.7
231,11.0
2420,12.7
1078,16.3
96,8.5
2810,9.9
2970,12.7
1770,9.7
990,15.2
1198,12.6
1505,11.6
2997,17.8
2711,10.0
1558,16.4
2834,12.3
104,10.8
2341,14.6
1933,18.4
2570,10.3
2655,12.0
1817,13.7
1055,18.5
1270,14.2
2573,15.6
744,13.2
226,9.5
1034,16.9
2044,14.5
2412,11.9
1721,10.3
1754,12.4
2364,6.7
2034,10.2
1135,16.4
785,13.7
2514,15.3
798,11.1
1426,20.6
1041,15.4
1771,11.5
464,15.6
2431,13.2
900,13.0
1251,10.8
1766,9.7
1216,10.6
2023,11.9
2370,13.8
1602,10.6
212,10.6
12,19.1
3039,16.5
422,11.9
999,15.2
1052,15.1
1057,18.7
2848,12.6
741,13.5
3051,12.8
2652,14.1
3095,12.3
1029,14.3
1429,18.4
1776,12.2
509,17.1
644,11.2
597,9.9
2705,15.1
1159,17.2
2753,15.8
1850,12.7
2771,13.1
518,18.4
2942,12.1
887,13.1
573,14.2
3065,12.6
2856,11.6
1225,8.2
2884,13.6
2843,15.3
1271,17.8
1583,14.0
123,14.3
2956,9.6
220,9.6
3043,15.4
358,16.3
1391,11.5
2768,14.1
2743,16.1
2054,12.2
2178,14.2
259,11.5
2903,9.0
2406,18.2
976,12.6
2508,11.5
1480,16.7
1835,10.9
2984,9.8
2574,17.4
1651,9.2
1743,13.3
2847,9.9
2440,17.0
456,12.4
462,11.1
2335,16.6
2453,14.5
1662,11.8
1411,17.9
381,14.1
2929,14.7
1222,7.9
1818,16.7
1518,12.7
964,13.1
1475,16.1
1565,7.9
2164,13.5
59,18.9
1210,12.1
2850,13.9
2715,13.7
1572,9.4
2475,14.5
2402,10.3
1980,19.6
657,10.4
2590,11.8
845,11.9
542,17.6
1472,18.2
1951,15.0
1307,12.9
1962,13.6
952,13.5
2859,9.8
2538,14.7
1650,13.0
1800,12.8
1537,10.8
3029,12.6
1880,7.8
2309,9.1
2770,15.1
2407,11.3
2982,9.8
435,10.5
2700,12.0
237,13.1
2254,12.4
1117,19.1
109,15.5
2059,13.3
781,11.5
2157,15.2
163,14.4
288,9.6
2543,15.9
252,8.3
2746,12.2
2119,13.0
2285,13.2
767,12.9
787,11.5
2642,16.4
1732,13.8
1106,18.1
1071,15.2
2765,18.3
1937,11.5
2448,14.7
1116,12.8
1032,15.9
1283,13.1
2966,12.1
847,9.3
2465,16.0
2515,12.2
461,16.2
1775,12.0
1717,10.8
157,15.9
1001,14.3
2080,14.7
1837,9.9
677,12.7
1866,13.3
1027,12.8
238,11.6
978,13.7
2179,14.9
243,10.4
100,17.7
315,11.2
1442,14.6
2861,16.9
1025,15.4
1576,10.4
261,6.9
2086,12.7
2547,13.1
195,10.3
1972,13.5
2171,13.9
3096,10.6
179,15.8
834,10.6
842,11.9
2924,17.0
1577,12.8
2097,13.5
340,15.5
1177,8.7
1302,11.7
748,12.4
1190,9.9
662,10.8
480,19.4
803,10.8
2245,11.5
1080,12.8
2940,14.0
2553,11.3
549,8.6
3122,10.1
783,14.0
2839,11.8
2066,12.2
742,14.6
2531,13.4
1896,18.0
2392,10.9
2988,6.9
2078,11.8
2822,14.2
2227,11.3
2498,14.2
247,11.9
871,7.3
2459,16.5
1255,13.9
2851,10.4
626,11.8
347,14.2
278,12.9
2965,10.3
2801,10.8
655,12.6
2964,12.5
1621,11.8
907,12.1
2752,16.1
2712,13.8
1133,15.1
911,9.9
2161,12.2
632,11.2
1100,15.2
445,14.3
617,10.2
1360,10.9
1586,13.4
1188,11.4
3081,9.2
1742,11.6
844,12.0
2676,14.4
547,11.0
1971,12.7
2221,13.9
1502,10.4
263,7.5
1392,9.9
2468,14.3
2015,12.1
353,9.6
802,10.0
208,14.1
613,11.4
2462,14.9
2057,13.9
1670,11.9
2878,13.9
1268,13.0
2481,14.1
1674,8.6
57,13.0
1949,15.6
811,7.1
2577,11.6
2303,12.5
561,14.8
2149,17.2
229,13.3
2631,13.1
1913,12.0
1656,11.2
538,13.1
2974,14.3
1195,14.6
2223,13.0
3036,16.0
560,12.9
707,15.3
1042,15.2
424,18.8
647,9.6
2387,9.7
1321,7.2
1187,12.5
2090,14.9
1005,12.8
620,13.0
1894,15.9
553,14.4
2793,15.4
1554,9.3
998,11.3
1362,11.3
1295,13.8
2876,14.6
3124,10.7
1867,10.4
440,11.2
508,17.2
589,9.2
1234,14.4
649,8.2
1642,11.2
2886,14.7
2206,13.5
1455,18.4
2354,15.7
630,12.3
2957,13.0
482,17.4
1242,12.2
2687,15.9
2318,18.4
2874,13.5
2030,18.2
2372,7.4
856,10.5
530,13.9
1898,10.6
49,19.6
858,11.9
719,13.5
1309,8.7
1427,13.3
2737,15.4
1446,15.9
1627,8.2
3044,16.9
1436,14.4
2344,18.6
2256,9.2
1381,7.7
1110,13.2
1124,19.1
2248,11.7
2757,11.9
2130,12.5
297,14.1
1421,13.2
1330,8.5
958,12.8
2196,16.4
1344,11.8
1211,13.3
349,15.9
1921,12.6
643,11.5
1963,13.3
1567,12.5
669,17.0
1730,12.8
2739,16.2
2002,13.6
1723,10.9
2490,15.2
1788,12.7
1709,12.7
786,11.9
3083,12.2
140,12.3
788,11.5
1720,10.3
2134,14.6
714,12.6
1476,14.3
1726,11.8
1665,10.3
2567,15.0
618,12.5
406,12.7
1461,23.1
3133,9.1
2727,14.2
1954,8.4
2321,12.4
497,13.5
342,16.6
3084,17.5
2381,10.4
782,12.9
2118,13.5
303,10.0
1842,12.8
664,11.3
1808,7.8
2228,13.7
2304,11.2
1623,11.3
84,11.2
3117,7.4
941,11.0
961,11.5
841,12.0
3129,9.8
2493,17.0
1289,13.4
1412,20.0
290,9.9
2288,11.1
1239,12.3
604,11.6
2377,13.2
916,8.9
2528,13.2
2780,8.2
1099,14.8
1088,17.2
2802,11.3
1748,9.7
821,12.6
2588,11.6
1000,15.3
1491,12.4
18,18.6
2707,15.1
1125,17.8
1562,12.2
1822,15.2
1393,8.5
1713,12.2
1590,13.7
1804,16.9
1948,13.7
2120,9.5
1885,10.4
1009,11.8
360,14.2
2681,15.9
2004,11.9
1340,11.7
1229,16.0
1916,13.2
1745,11.9
344,17.3
986,13.1
1407,16.9
1904,16.1
2779,11.7
1886,11.6
113,13.0
3004,15.3
2014,8.9
2864,11.4
85,14.9
2167,15.5
668,13.0
1014,13.4
128,17.9
2661,13.5
3120,10.7
891,14.0
2019,12.8
307,10.3
383,12.2
2176,15.6
2290,12.7
2230,13.7
426,11.0
494,10.4
1207,10.4
1746,11.9
1208,10.8
2550,13.6
2308,11.2
1397,8.1
1447,18.1
275,9.6
489,13.7
2258,13.0
690,11.9
2263,11.4
1764,10.5
1278,11.7
2887,10.5
2316,21.2
2183,12.2
1058,17.6
118,11.8
1024,11.8
1487,12.7
281,9.1
1666,10.9
2895,13.7
968,13.5
2951,12.8
1317,12.1
1784,9.9
155,16.4
304,8.9
3107,11.3
2954,11.2
1871,9.4
1681,11.0
2351,17.6
3031,15.7
575,12.2
2058,13.3
2696,15.8
2750,13.3
1580,13.1
1911,16.5
843,9.3
2031,11.4
269,10.4
629,11.0
1033,15.8
286,9.7
2322,16.4
300,11.7
1506,10.7
2011,12.6
1860,10.2
1465,18.8
65,21.8
2812,10.4
890,13.6
1659,12.7
1964,16.3
1924,14.7
1361,10.6
230,12.9
503,15.7
1350,12.0
1507,11.3
1608,9.9
1769,9.4
1004,15.5
836,10.9
1718,13.7
374,11.1
2497,15.0
2564,14.7
2418,11.0
2003,11.4
2175,12.6
751,12.2
99,10.9
1915,11.2
866,12.0
910,16.3
1474,19.6
529,15.6
1260,13.1
1825,14.2
636,12.0
1269,9.9
185,14.3
1326,12.8
1641,11.0
931,8.2
1538,12.7
2410,17.9
2012,11.1
2516,14.4
1273,11.6
2172,11.0
607,10.7
1929,19.3
151,10.8
2948,12.6
2251,10.0
731,12.2
2353,11.0
1780,11.1
2860,11.1
23,21.1
2470,14.1
158,17.1
861,10.2
902,12.4
1593,13.5
1230,13.4
2754,13.6
444,10.1
3073,11.6
754,14.7
923,13.0
3109,9.3
2209,11.9
311,10.2
548,10.4
2098,15.5
1620,9.8
306,8.6
287,12.9
694,9.3
308,9.2
3089,8.7
749,13.0
2971,12.5
1385,9.9
3125,12.2
2260,11.2
908,7.9
86,10.9
2495,15.1
1432,14.8
2615,14.2
970,11.7
13,16.4
873,12.3
808,12.2
2702,14.4
514,20.9
2529,14.7
409,12.6
1844,11.7
1337,11.0
2374,18.4
1459,11.0
1587,14.8
1498,13.5
1926,14.0
382,11.7
1752,11.9
2297,12.7
2706,14.7
2064,13.4
2762,14.4
2204,9.9
1511,13.1
552,12.1
222,12.0
1096,13.0
2723,18.6
8,17.5
2967,8.5
316,13.4
1328,11.5
427,16.2
1488,16.4
105,13.5
2293,12.1
142,15.4
121,14.9
2486,15.0
2999,17.1
1189,13.0
2815,8.8
2725,14.3
1961,11.7
115,15.8
1566,14.3
1413,17.3
2252,12.8
2930,8.2
3085,11.0
1778,13.0
1995,8.7
672,11.9
1691,11.0
1813,16.5
3082,11.8
591,11.3
2606,14.0
888,11.8
1950,12.1
2040,8.6
2051,12.5
213,10.1
778,12.0
2211,14.8
800,10.1
2601,15.6
1610,9.7
1697,12.5
2398,10.7
2791,10.8
1689,12.6
2998,14.3
1343,10.9
273,10.9
71,9.4
1988,12.2
1087,16.7
394,15.5
583,11.8
3028,15.2
2117,12.6
2409,11.5
500,17.2
3128,10.1
2334,14.9
3118,11.7
2871,13.4
2596,15.0
1259,10.2
1789,9.5
2375,12.6
205,12.6
733,12.7
1694,14.1
526,17.6
1532,13.5
898,12.3
377,16.6
1918,17.3
2897,14.0
1690,11.5
386,16.8
198,12.3
1050,18.8
590,11.6
519,19.6
2124,13.5
2144,12.4
429,16.4
1083,10.3
207,12.8
491,14.1
3087,10.7
3047,11.3
792,10.4
2614,11.9
1186,10.2
1185,14.7
1957,13.9
1497,13.6
3052,8.5
1410,16.0
83,13.8
2484,13.5
2337,14.3
20,16.4
1909,15.1
2071,12.8
1739,11.6
1405,16.7
2095,11.7
2823,13.4
2159,15.5
973,13.5
2922,9.5
883,10.7
1098,12.1
156,19.8
3123,11.9
886,13.6
3138,11.3
2678,18.2
2599,11.2
1667,11.6
2657,13.2
2028,11.1
3134,9.7
1453,13.5
3127,10.1
458,13.8
2148,11.7
78,10.6
3049,9.1
1056,17.8
906,12.5
1744,10.2
2325,16.2
2826,15.5
380,14.6
947,12.9
2602,14.5
2111,13.9
715,15.2
2858,16.0
686,11.5
2689,13.7
1293,14.8
305,9.9
209,9.6
3057,6.9
2332,14.6
3114,12.1
2338,18.1
885,12.5
1815,10.9
917,13.2
2719,9.6
1847,11.3
191,12.7
1941,17.3
2140,18.4
1265,9.3
483,17.5
915,11.6
2724,16.0
277,6.8
988,13.8
1618,12.4
1245,12.6
1809,16.9
571,13.6
1435,10.9
993,13.3
1563,9.2
1559,11.7
585,14.8
3076,8.1
2355,12.8
3132,11.5
1349,10.7
1007,15.7
674,11.9
2540,11.5
855,12.5
447,13.4
1582,13.2
2873,13.8
1798,11.4
2373,10.1
2804,8.7
2500,10.3
1907,15.0
2800,8.1
2610,14.4
1247,9.8
294,8.9
1547,16.0
588,14.2
1281,12.8
3070,13.3
2618,14.8
2349,15.7
2927,13.3
2367,18.1
1417,16.2
425,12.6
534,17.3
1054,16.4
2378,10.6
2626,12.9
1588,12.9
132,14.4
2236,12.1
3035,15.3
421,15.5
2787,11.8
2679,12.4
2272,12.4
1368,9.7
556,13.1
2404,10.4
1655,11.9
2808,12.7
570,11.5
352,13.0
91,13.1
2229,12.0
2656,18.8
1170,17.6
2166,15.4
1285,13.4
2443,15.9
2854,11.6
1611,6.8
1591,16.6
1644,11.3
697,11.8
2628,17.2
348,15.6
1741,8.4
2461,15.9
2549,14.8
2983,12.3
1137,13.8
2525,12.3
1616,11.2
2969,8.7
2953,10.0
1339,10.1
2611,12.7
453,12.6
913,12.9
1199,16.0
1274,11.6
2053,12.0
37,16.8
974,12.4
2902,10.6
983,12.8
2005,8.9
2113,14.7
1418,12.5
1284,9.9
2242,11.5
39,15.3
1486,13.6
1983,15.0
169,14.5
1355,15.7
737,11.9
1731,8.6
2830,16.9
1564,11.8
2073,12.1
634,10.7
2776,9.9
2083,11.8
1640,15.5
1290,13.0
2452,15.1
1380,9.5
579,14.9
328,13.8
3079,10.7
892,13.7
1143,18.8
780,12.9
159,15.4
1725,12.2
1839,10.5
2439,18.1
61,16.7
849,9.6
2959,11.4
3027,17.2
1791,11.6
1596,10.1
1043,18.8
2736,13.2
1544,12.1
2093,15.3
1801,12.2
1070,16.0
53,18.0
2561,15.2
258,7.0
505,15.9
752,12.9
2121,12.6
217,10.5
824,9.8
2918,12.1
3137,10.4
2671,11.4
1389,11.7
2624,15.6
1266,11.3
2585,13.6
1902,12.1
1598,15.0
2451,13.2
1607,13.1
3086,10.1
771,13.4
2935,12.3
1953,20.5
3001,17.0
1085,18.0
1910,14.5
1710,12.2
1325,7.9
2226,13.9
1736,11.4
1987,14.2
1830,13.5
1403,17.0
1868,11.5
1869,11.2
2319,17.6
1163,13.7
963,13.1
3037,15.6
1849,11.6
398,17.5
584,12.5
948,14.1
704,12.3
431,17.0
1688,10.4
292,11.2
145,17.9
323,13.1
2714,16.9
2215,13.5
1165,14.0
1452,16.6
2,19.7
1712,11.6
576,11.0
2415,10.8
339,13.2
1979,9.1
1767,9.9
925,11.2
265,8.0
376,10.9
2460,18.0
1463,15.1
271,10.7
696,12.4
3112,8.4
244,7.9
2946,12.7
476,13.0
1883,12.1
1914,11.2
813,11.2
1864,10.3
2973,12.8
2916,9.1
3090,8.4
1164,25.3
2359,10.9
250,9.7
413,10.3
545,12.3
1193,12.0
738,12.5
310,10.8
1877,10.7
893,11.0
1131,16.7
1449,14.9
3042,17.2
15,14.1
2102,13.4
721,14.5
1420,16.4
2761,15.6
981,12.6
2210,11.7
1539,12.0
2653,14.6
1550,13.9
2663,14.0
363,10.8
982,11.0
182,17.5
985,12.5
2126,13.1
1194,11.3
1966,14.9
1862,13.1
1121,15.7
187,10.7
619,11.3
2899,12.3
1175,11.7
1182,11.7
2499,12.4
2728,13.7
614,8.7
1513,14.6
1466,17.6
401,17.5
994,15.1
934,12.3
371,17.4
2084,14.4
2298,13.8
593,11.1
2295,12.4
726,10.1
826,10.5
1861,10.6
687,10.6
2609,15.6
136,11.9
3038,15.2
628,12.2
334,14.8
1805,15.8
390,13.4
2424,10.4
1109,19.2
2906,13.5
2829,11.0
710,12.2
1039,14.4
2077,13.5
2050,13.8
2720,15.1
1561,10.8
3135,8.9
1594,15.5
2981,9.7
2643,14.3
1112,13.6
465,18.7
1560,12.3
1223,7.5
2104,12.9
3105,11.0
2463,19.0
1508,14.3
1967,12.9
1104,11.0
660,12.0
2816,9.8
338,16.9
215,11.9
1615,12.3
1341,9.3
2637,13.1
2471,15.8
2937,13.2
1592,12.4
2222,14.7
2845,15.6
2645,16.9
816,11.3
1067,17.7
2131,15.1
274,10.2
2358,20.4
865,10.2
101,9.6
1501,13.4
2259,11.5
171,10.7
107,11.8
2208,9.6
1521,15.0
3126,10.8
1826,9.7
2313,9.4
2107,10.4
1960,14.9
2778,11.9
2114,13.2
2365,10.3
2760,16.6
2699,12.9
2867,11.5
295,11.6
712,12.1
72,14.0
1524,13.7
2384,10.6
2685,10.2
3020,10.0
481,13.6
2329,16.2
